id,designation,role,created_at,updated_at
1,Associate Consultant,employee,2026-05-16 13:38:51.412673,2026-05-16 13:38:51.412673
2,Associate Data Engineer,employee,2026-05-16 13:38:51.436277,2026-05-16 13:38:51.436277
3,Associate Director - Operations,functional_lead,2026-05-16 13:38:51.437175,2026-05-16 13:38:51.437175
4,Associate Solutions Engineer,employee,2026-05-16 13:38:51.437812,2026-05-16 13:38:51.437812
5,Category Manager,employee,2026-05-16 13:38:51.43847,2026-05-16 13:38:51.43847
8,Intern,employee,2026-05-16 13:38:51.440249,2026-05-16 13:38:51.440249
9,Lead Solutions,team_lead,2026-05-16 13:38:51.440834,2026-05-16 13:38:51.440834
10,Manager - Operations,team_lead,2026-05-16 13:38:51.441399,2026-05-16 13:38:51.441399
11,Solutions Architect,employee,2026-05-16 13:38:51.442014,2026-05-16 13:38:51.442014
12,Solutions Engineer,employee,2026-05-16 13:38:51.442354,2026-05-16 13:38:51.442354
13,Sourcing Specialist,employee,2026-05-16 13:38:51.442662,2026-05-16 13:38:51.442662
14,Sr. Consultant,employee,2026-05-16 13:38:51.443096,2026-05-16 13:38:51.443096
15,Sr. Data Scientist,employee,2026-05-16 13:38:51.443507,2026-05-16 13:38:51.443507
18,Sr. Solutions Engineer,employee,2026-05-16 13:38:51.444689,2026-05-16 13:38:51.444689
19,Sr. UI/UX Analyst,employee,2026-05-16 13:38:51.445058,2026-05-16 13:38:51.445058
20,Technical Support Engineer,employee,2026-05-16 13:38:51.445515,2026-05-16 13:38:51.445515
7,Director - Operations,functional_lead,2026-05-16 13:38:51.439655,2026-05-16 13:38:51.439655
16,Sr. Director - Operations,business_lead,2026-05-16 13:38:51.443943,2026-05-16 13:38:51.443943
6,Consultant,employee,2026-05-16 13:38:51.439084,2026-05-16 13:38:51.439084
17,Sr. Director - TSS,functional_lead,2026-05-16 13:38:51.444321,2026-05-16 13:38:51.444321
21,CTO,executive,2026-05-16 13:38:51.445058,2026-05-16 13:38:51.445058
